iter	Passed	Remaining
0	22	2251
1	43	2113
2	61	1986
3	81	1961
4	100	1901
5	118	1854
6	136	1815
7	155	1788
8	175	1769
9	198	1782
10	223	1808
11	253	1856
12	279	1868
13	303	1862
14	323	1833
15	349	1836
16	376	1837
17	412	1881
18	446	1905
19	479	1918
20	513	1930
21	568	2015
22	611	2048
23	697	2207
24	776	2329
25	1022	2910
26	1113	3011
27	1166	2998
28	1251	3063
29	1345	3138
30	1437	3199
31	1503	3194
32	1557	3162
33	1611	3127
34	1672	3106
35	1732	3080
36	1785	3040
37	1841	3004
38	1890	2957
39	1941	2912
40	2020	2907
41	2095	2894
42	2161	2865
43	2223	2830
44	2271	2776
45	2328	2733
46	2385	2689
47	2449	2653
48	2512	2615
49	2579	2579
50	2654	2550
51	2725	2515
52	2796	2479
53	2865	2440
54	2937	2403
55	2997	2355
56	3064	2311
57	3118	2257
58	3175	2206
59	3238	2158
60	3287	2102
61	3337	2045
62	3389	1990
63	3446	1938
64	3506	1887
65	3565	1836
66	3635	1790
67	3694	1738
68	3760	1689
69	3825	1639
70	3880	1584
71	3969	1543
72	4025	1488
73	4071	1430
74	4123	1374
75	4179	1319
76	4250	1269
77	4324	1219
78	4377	1163
79	4445	1111
80	4497	1054
81	4546	997
82	4601	942
83	4665	888
84	4727	834
85	4782	778
86	4851	724
87	4933	672
88	5031	621
89	5116	568
90	5209	515
91	5265	457
92	5334	401
93	5371	342
94	5450	286
95	5561	231
96	5680	175
97	5751	117
98	5877	59
99	5969	0
